starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:29:02 2022	1664051342	0	661	661	660
Sat Sep 24 23:28:58 2022	1664051338	0	661	661	660
Sat Sep 24 23:29:02 2022	1664051342	0	661	661	660
Sat Sep 24 23:29:02 2022	1664051342	0	661	661	660
Sat Sep 24 23:29:06 2022	1664051346	0	661	661	661
Sat Sep 24 23:28:58 2022	1664051338	0	662	662	662
Sat Sep 24 23:28:57 2022	1664051337	0	664	664	661
Sat Sep 24 23:28:57 2022	1664051337	0	665	665	664
Sat Sep 24 23:28:56 2022	1664051336	0	665	665	659
Sat Sep 24 23:28:57 2022	1664051337	0	665	665	665
Sat Sep 24 23:29:07 2022	1664051347	0	665	665	665
Sat Sep 24 23:29:02 2022	1664051342	0	665	666	663
Sat Sep 24 23:28:56 2022	1664051336	0	666	666	665
Sat Sep 24 23:29:09 2022	1664051349	0	666	666	665
Sat Sep 24 23:29:02 2022	1664051342	0	666	666	666
Sat Sep 24 23:29:04 2022	1664051344	0	666	666	665
Sat Sep 24 23:28:59 2022	1664051339	0	666	666	666
Sat Sep 24 23:28:57 2022	1664051337	0	666	666	665
Sat Sep 24 23:29:07 2022	1664051347	0	666	666	665
Sat Sep 24 23:28:56 2022	1664051336	3	664	666	657
Sat Sep 24 23:29:07 2022	1664051347	0	667	667	664
Sat Sep 24 23:28:59 2022	1664051339	0	667	667	666
Sat Sep 24 23:28:57 2022	1664051337	0	667	667	667
Sat Sep 24 23:28:56 2022	1664051336	2	665	668	657
Sat Sep 24 23:29:02 2022	1664051342	0	668	669	663
Sat Sep 24 23:29:02 2022	1664051342	0	669	669	664
Sat Sep 24 23:29:02 2022	1664051342	0	669	669	667
Sat Sep 24 23:29:05 2022	1664051345	0	669	669	668
Sat Sep 24 23:29:02 2022	1664051342	0	669	669	668
Sat Sep 24 23:28:58 2022	1664051338	0	669	669	662
Sat Sep 24 23:29:04 2022	1664051344	0	670	670	669
Sat Sep 24 23:29:05 2022	1664051345	0	670	670	669
Sat Sep 24 23:28:57 2022	1664051337	0	670	671	670
Sat Sep 24 23:29:07 2022	1664051347	0	670	671	669
